Dates,NORMAL (mm) ,ACTUAL (mm) 
Jan-17,16.9,4.35
Feb-17,14,9.13
Mar-17,39.7,86.24
Apr-17,82.4,154.68
May-17,188.2,297.26
Jun-17,507.5,660.43
Jul-17,766.3,716.92
Aug-17,555.5,887.92
Sep-17,424.2,602.27
Oct-17,125.3,96.9
Nov-17,9.9,6.27
Dec-17,3.6,0
Jan-18,16.9,0.34
Feb-18,14,9.97
Mar-18,39.7,59.72
Apr-18,82.4,144.93
May-18,188.2,388.12
Jun-18,507.5,595.96
Jul-18,766.3,698.25
Aug-18,555.5,647.29
Sep-18,424.2,818.61
Oct-18,125.3,102.22
Nov-18,9.9,4.44
Dec-18,3.6,8.4
Jan-19,16.9,0.7
Feb-19,14,30.8
Mar-19,39.7,74.82
Apr-19,82.4,131.87
May-19,188.2,177.37
Jun-19,507.5,499.14
Jul-19,766.3,1064.96
Aug-19,555.5,337.53
Sep-19,424.2,672.11
Oct-19,125.3,140.93
Nov-19,9.9,41.41
Dec-19,3.6,7.81
Jan-20,16.9,16.31
Feb-20,14,40.01
Mar-20,39.7,58.71
Apr-20,82.4,143.76
May-20,188.2,258.72
Jun-20,507.5,725.23
Jul-20,766.3,664.55
Aug-20,555.5,553.34
Sep-20,424.2,819.53
Oct-20,125.3,108.65
Nov-20,9.9,9.84
Dec-20,3.6,3.9
Jan-21,16.9,5.17
Feb-21,14,13.16
Mar-21,39.7,44.96
Apr-21,82.4,91.08
May-21,188.2,265.61
Jun-21,507.5,529.75
Jul-21,766.3,538.84
Aug-21,555.5,983.49
Sep-21,424.2,406.33
Oct-21,125.3,337.33
Nov-21,9.9,7.36
Dec-21,3.6,6.13
Jan-22,16.9,11.02
Feb-22,14,39.21
Mar-22,39.7,29.57
Apr-22,82.4,153.79
May-22,188.2,360.9
Jun-22,507.5,1028.93
Jul-22,766.3,742.31
Aug-22,555.5,554.33
Sep-22,424.2,646.7
Oct-22,125.3,235.65
Nov-22,9.9,2.35
Dec-22,3.6,1.57
Jan-23,0,0.02
Feb-23,0,28.32
Mar-23,0,134.79
Apr-23,0,104.45
May-23,0,243.23
Jun-23,507.5,683.68
Jul-23,766.3,754.95
Aug-23,555.5,834.27
Sep-23,424.2,355.57
Oct-23,125.3,194.85
Nov-23,9.9,0.76
